date;time;athlete;country;location
1913-05-31;254.4;John Paul Jones;USA;Cambridge, MA USA
1915-07-16;252.6;Norman Taber;USA;Cambridge, MA USA
1923-08-23;250.4;Paavo Nurmi;FIN;Stockholm, SWE
1931-10-04;249.2;Jules Ladoumègue;FRA;Paris, FRA
1933-07-15;247.6;Jack Lovelock;NZL;Princeton, NJ USA
1934-06-16;246.8;Glenn Cunningham;USA;Princeton, NJ USA
1937-08-28;246.4;Sydney Wooderson;GBR;Motspur Park, GBR
1942-07-01;246.2;Gunder Hägg;SWE;Göteborg, SWE
1942-07-10;246.2;Arne Andersson;SWE;Stockholm, SWE
1942-09-04;244.6;Gunder Hägg;SWE;Stockholm, SWE
1943-07-01;242.6;Arne Andersson;SWE;Göteborg, SWE
1944-07-18;241.6;Arne Andersson;SWE;Malmö, SWE
1945-07-17;241.4;Gunder Hägg;SWE;Malmö, SWE
1954-05-06;239.4;Roger Bannister;GBR;Oxford, GBR
1954-06-21;238.0;John Landy;AUS;Turku, FIN
1957-07-19;237.2;Derek Ibbotson;GBR;London, GBR
1958-08-06;234.5;Herb Elliott;AUS;Dublin, IRL
1962-01-27;234.4;Peter Snell;NZL;Wanganui, NZL
1964-11-17;234.1;Peter Snell;NZL;Auckland, NZL
1965-06-09;233.6;Michel Jazy;FRA;Rennes, FRA
1966-07-17;231.3;Jim Ryun;USA;Berkeley, CA USA
1967-06-23;231.1;Jim Ryun;USA;Bakersfield, CA USA
1975-05-17;231.0;Filbert Bayi;TAN;Kingston, JAM
1975-08-12;229.4;John Walker;NZL;Göteborg, SWE
1979-07-17;229.0;Sebastian Coe;GBR;Oslo, NOR
1980-07-01;228.8;Steve Ovett;GBR;Oslo, NOR
1981-08-19;228.53;Sebastian Coe;GBR;Zürich, SUI
1981-08-26;228.4;Steve Ovett;GBR;Koblenz, GER
1981-08-28;227.32999999999998;Sebastian Coe;GBR;Brussels, BEL
1985-07-27;226.32;Steve Cram;GBR;Oslo, NOR
1993-09-05;224.39;Noureddine Morceli;ALG;Rieti, ITA
1999-07-07;223.13;Hicham El Guerrouj;MAR;Rome, ITA
